Attraction,location,info
갈비명가이상 돈암본관,서울 성북구,궁중갈비의 40년 맥을 이은 갈비집
개화,서울 중구,독특한 짜장면이 있는 중국집
삼호복집 신촌,서울 서대문구,담백하고 정갈한 복 요리를 맛볼 수 있는 곳
해랑,서울 강남구,신선한 제철 해산물을 가득 넣은 해물탕이 일품인 식당
종가집,서울 종로구,고소한 곱창구이가 맛있는 종로 맛집
주은감자탕,서울 송파구,믿고 먹는 감자탕집
신안촌,서울 종로구,오랜 역사와 전통을 자랑하는 전라도 토속음식 전문점
라브리,서울 종로구,분위기 좋은 프랑스 음식 레스토랑
오우가,서울 중구,한식의 색다른 맛과 전통의 멋
이닝,서울 강남구,고급식 퓨전 중화요리전문점
박가네빈대떡,서울 종로구, 따뜻하고 바삭한 빈대떡을 맛볼 수 있는 곳
원대구탕,서울 용산구,전쟁기념관 구경하고 들릴 수 있는 맛있는 대구탕
전통다원,서울 종로구,한옥의 아름다움을 느끼며 차 한잔하기 좋은 카페
은호식당,서울 중구,크림스파게티가 유명한 줄서서 먹는 광화문 맛집
옛날중국집,서울 성북구,성북동 오래된 전통의 짜장면
완차이,서울 서대문구,매운 홍합 볶음이 맛있는 신촌 중국집
너비집,서울 중구,고품격 매운갈비찜
남원집,서울 관악구,순대요리 전문점
메종 드 라 카테고리,서울 강남구,식사부터 디저트까지 맛있는 미슐랭 프렌치 레스토랑
꼼떼 바베큐 둔촌본점,서울 강동구,넓은 정원이 있는 바비큐집
마산옥,서울 강남구,다양한 아귀 요리를 맛볼 수 있는 곳
오향족발,서울 마포구,쫀득한 족발이 맛있는 곳
봉피양 방이점,서울 송파구,고급 한식 레스토랑으로 ‘미쉐린 가이드 서울 2023’에 등재된 식당
우스마니아,서울 용산구,파키스탄 전통음식을 맛볼 수 있는 곳
타볼로24,서울 종로구,아름다운 흥인지문 전경과 함께하는 고품격 뷔페 다이닝
뜰과다원,서울 종로구,고풍스러운 한옥카페
안동할매청국장,서울 성북구,할머니가 직접 메주를 띄워 진한 청국장이 일품인 식당
고향풍천장어,서울 종로구,국내산 토종 장어구이를 맛볼 수 있는 곳
린스시,서울 서초구,서초동 가성비로 소문난 초밥가게
스시조,서울 중구,최고의 재료로 만들어내는 최고의 맛
역전회관,서울 마포구,오랜 전통의 한식 전문점
마포소문난원조족발,서울 마포구,족발 맛집으로 유명한 공덕동의 명소
워킹온더클라우드,서울 영등포구,유럽 분위기 물씬 나는 레스토랑
니와,서울 용산구,정통 일본식 요리와 술을 즐길 수 있는 선술집
제비다방,서울 마포구,무대가 있는 곳
사랑채,서울 종로구,한국의 대표적인 음식들을 저렴한 가격으로 즐길 수 있는 곳
루이,서울 중구,전문가의 손길로 더 맛있는 중식
동해도 광화문,서울 중구,신선한 재료로 만드는 회전 초밥 전문점
희락갈치,서울 중구,남대문시장 갈치조림골목 맛집
현대칼국수,서울 중구,2대째 칼국수를 전문으로 다루고 있는 음식점
장안동 먹깨비 간장게장 해물아구찜,서울 동대문구, 24시간 영업하는 간장게장 해물전문점
미림산장,서울 강북구,물놀이가 가능한 우이동 계곡산장
청담나인,서울 강남구,재즈 라이브 레스토랑
신강양꼬치,서울 서초구,강남 서초 최초의 양고기 전문점
화니 신세계 강남점,서울 서초구,귀한 식재료로 전통의 맛을 살리다
돈까스잔치 동빙고점,서울 용산구,왕돈가스와 잔치국수가 맛있는 용산 맛집
신촌 닭한마리 유닭스토리,서울 서대문구,대한민국 최고의 닭한마리 메뉴를 맛보다
꼴라주,서울 서초구,농림축산식품부 제공 안심식당 선정
카나디안 랍스터,서울 서초구,신선한 바닷가재 요리가 있는 곳
청해진,서울 강동구,중소벤처기업부 인증 백년가게
한모네 순대국,서울 광진구,깔끔한 국물과 푸짐한 순대를 맛볼 수 있는 곳
마쯔야,서울 중구,"소나무집을 뜻하는 우동, 소바, 초밥 전문점"
춘천집닭갈비막국수,서울 서대문구,다양한 철판 닭갈비를 맛볼 수 있는 곳
또순이원조순대,서울 관악구,신림동 순대타운 백순대 맛집
타지펠리스 이태원점,서울 용산구,전통 인도 요리를 선보이다
우리집떡볶이,서울 중구,매콤한 닭발도 맛있는 신당동 떡볶이 맛집
비하인드,서울 마포구,아날로그적인 느낌의 공간 이미지와 컨셉을 담고있는 카페
미니네,서울 중구,떡볶이와 닭발이 맛있는 집
파툼,서울 종로구,삼청동의 아름다운 경치를 한눈에 담다
노천파전,서울 동대문구,파전 전문요리점
비타포,서울 성북구,착한 가격에 입맛까지 사로잡는 태국식 쌀국수
일미간장게장본점,서울 동대문구,40여 년 전통의 간장게장 전문 식당
홍루몽,서울 서초구,깔끔하고 깊은 맛을 느낄 수 있는 중화요리식당
뿌자,서울 종로구,서울에서 만나는 인도음식
타마린드,서울 서초구,이국적인 인테리어와 정갈한 가정식 베트남 요리가 일품인 식당
중앙갈치식당,서울 중구,오랜 전통을 자랑하는 갈치 요리 전문점 
홍어명가,서울 영등포구,홍어단품메뉴부터 무한리필메뉴까지
마포유가궁중족발,서울 마포구,20여 년 전통의 족발전문 식당
밀화,서울 서초구,국수 전골이 맛있는 곳
아르모니움,서울 용산구,한남동에 위치한 아름다운 분위기의 이탈리안 레스토랑
초롱이고모부대찌개,서울 강동구,옛 맛 그대로를 간직한 암사동 부대찌개 맛집
파크 하얏트 서울 코너스톤,서울 강남구,차별화된 독특한 다이닝 경험과 홈 스타일 이탈리안 요리를 경험할 수 있는파크 하얏트 서울 메인 레스토랑
손가네곰국수,서울 성북구,진한 고기 육수에 두툼한 고기까지
메종 한남,서울 용산구,완벽한 하루를 보낼 수 있는 공간
우성갈비,서울 중구,연탄돼지갈비를 맛볼수 있는 약수시장 맛집
챠크라 한남점,서울 용산구,인도분이 직접 요리하시는 인도 전통식 커리
백마김씨네 도곡본점,서울 강남구,현대적인 감각으로 정갈하게 제공하는 숯불구이 전문 식당
인터컨티넨탈 서울 코엑스 스카이 라운지,서울 강남구,서울의 아름다운 분위기를 한 눈에 감상할 수 있는 최고의 장소
서일순대국,서울 동작구,여러 방송 프로그램에서 순댓국 맛집으로 알려진 곳
알디프 티 바,서울 마포구,다양한 티를 즐길 수 있는 티 코스 카페
레스피레,서울 마포구,망원동에서 만나는 유럽 감성
도원스타일,서울 강남구,"감각적, 다채로운 중식이 식탁 위로"
비비브라운,서울 강남구,모던한 분위기의 카페
이끼롤까스 가로수길본점,서울 강남구,국내 최초 롤까스 전문점
1940금문,서울 종로구,튀겨진 반숙 달걀프라이를 얹은 간짜장이 대표 메뉴
코끼리베이글,서울 영등포구,줄 서서 구매하는 서울 베이글 3대 성지
알페도,서울 용산구,유퀴즈에 나왔던 터키 베이커리 카페
통일집,서울 중구,"힙지로 핫플레이스, 노포식당"
아야진생태찌개 본점,서울 강남구,얼큰하고 개운한 생태찌개와 코다리찜 맛집
히라메키,서울 강남구, 다양한 해산물과 제주지역특산품등 구입하실 수 있는 수산가게
하단,서울 성북구,이북식 만두전골을 맛볼 수 있는 곳
새만포면옥,서울 은평구,차돌양지를 푹 고아 만든 육수가 일품인 냉면맛집
황토추어탕,서울 강동구,서울 성내동 맛집
해담채 삼성점,서울 강남구,남도 바다를 한 상에 담아내는 한정식
까사빠보 신세계백화점본점,서울 중구,1970~1980년대 일본의 양식을 재해석한 모던 재패니즈 캐주얼 레스토랑 호무랑
포포인츠 바이 쉐라톤 조선 서울역 더 이터리,서울 용산구,도심의 스카이라인을 보며 즐기는 뷔페
오양회참치 광화문본점,서울 중구,입안 가득 풍미로운 만족을 느낄 수 있는 참다랑어회
h450,서울 강남구,음식 하나하나 여운을 남기는 맛집
