tourist_spot,주소,tag
서울 중앙시장,서울특별시 중구 퇴계로85길 36,#서울3대시장#서울중앙시장#쇼핑#아이와함께#예술가#이색체험#재래시장#전통시장#중앙시장
세종한우정육점식당  2호점,서울특별시 강남구 학동로 219 국제빌딩 지층,#강남한우맛집#논현동한우#세종한우#세종한우정육점식당#옛날불고기#음식#한우소고기보신탕#한우정육식당
그랜드 워커힐 리버파크(야외수영장),서울특별시 광진구 워커힐로 177,#가족과함께#레포츠#리버파크#수영장#실외#여름피서지#연인과함께#워커힐#휴식공간#휴식여행#휴식하기좋은곳#힐링여행
청계천박물관,서울특별시 성동구 청계천로 530 청계천박물관,#걷기여행#도심여행#문화시설#박물관#실내여행지#아이와함께#청계천#청계천박물관
용마산,서울특별시 중랑구 면목동,#관광지#나홀로여행#등산#용마산#자연#자연&숲#자연좋은곳#자연풍경#자연환경#친구와함께#트레킹
장충단공원,서울특별시 중구 동호로 257-10,#가족여행#걷기여행#관광지#나들이#당일치기여행#사계절#서울근교여행#아이와함께#연인과함께#장충단공원#친구와함께#피크닉#힐링&휴양여행
하우스 도산,"서울특별시 강남구 압구정로46길 50 M층, 2층, 3층",#남녀노소#문화예술#사진찍기#사진찍기좋은곳#선글라스#쇼핑#안경#연인과함께#이색공간#친구와함께#휴식공간
레치키치 스튜디오,서울특별시 마포구 신촌로2안길 2 보애빌딩 지하,#관광지#스튜디오#이색체험#체험
프레젠트모먼트,서울특별시 마포구 동교로 49-1 1층,#가볼래터#망원동#빈티지#서울#소품샵#쇼핑#여행구독#인형#크리스마스
헌인릉 생태경관보전지역(오리나무림),서울특별시 서초구 헌인릉길 36-10 헌인릉,#관광지#나들이#당일치기여행#생태관광#수도권#오리나무림#자연#자연&숲#자연좋은곳#헌인릉생태경관보전지역#힐링
은평한옥마을,서울특별시 은평구 진관동 193-14,#관광지#서울#은평구#한옥마을#한옥체험
우리유황온천,서울특별시 광진구 자양로5길 33 지하2층,#관광지#서울온천#온천#우리유황온천#천연유황온천#프라젠스파
파리공원,서울특별시 양천구 목동동로 363 파리공원,#걷기길#관광지#나들이#서울도심여행#아이와함께#연인과함께#자연#주말추천여행지#친구와함께#파리공원#힐링
한성백제박물관,서울특별시 송파구 위례성대로 71 한성백제박물관,#가족여행#교과서속여행#당일치기여행#문화시설#박물관#사계절#아이와함께#역사를품은곳#역사속#역사속으로#역사여행#역사유적지#역사탐방#한성백제박물관
서울생활사박물관,서울특별시 노원구 동일로174길 27,#관광지#근현대박물관#박물관#서울생활사박물관#실내관광지#아이와함께#이색체험#전시#전통&역사체험
강변스파랜드,서울특별시 광진구 구의강변로 45 지하2층,#강변스파랜드#강변역사우나#강변역찜질방#관광지#불한증막#사우나#서울24시찜질방#서울스파#서울찜질방#서울찜질방추천#수도권#연인과함께#연중무휴#찜질방#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링&휴양#힐링체험
삼청동수제비,서울특별시 종로구 삼청로 101-1,#감자전#감자전#맛집#삼청동맛집#삼청동수제비#서울맛집#수도권#수제비#수제비#수제비맛집#연중무휴#음식#종로맛집#쭈꾸미볶음#찹쌀_새알_옹심이#파전#파전
경의선책거리,서울특별시 마포구 신촌로4길 18,#경의선#경의선책거리#관광지#복합문화#복합문화공간#복합시설#산책하기#산책하기좋은곳#연인과함께#작은책방#책거리#체험#휴식공간#휴식하기좋은곳
광화문광장,서울특별시 종로구 세종대로 175 세종이야기,#걷기길#관광지#광화문광장#도심공원#도심순환#도심여행#산책하기좋은곳#서울도심여행#세종대왕동상#시티투어#인생샷#충무공이순신동상
서대문안산,서울특별시 서대문구 봉원동,#관광지#남녀노소#무악산동봉수대터#산책로#산책코스#서대문구산#순환형무장애숲길#안산봉수대#안산자락길#역사탐험#자연#자연좋은곳#자연환경#휴식공간#휴식공원#휴식여행#휴식하기좋은곳#힐링산책#힐링여행#힐링여행지
런던베이글뮤지엄,서울특별시 종로구 북촌로4길 20,#2023_설날_디저트맛집#MZ세대#런던베이글뮤지엄#베이글#베이글맛집#비주얼맛집#안국역맛집#음식
서울광장,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,#가족과함께#관광지#덕수궁#도심여행#복합문화공간#산책하기#산책하기좋은곳#서울광장#서울도서관#서울시청#수도권#스케이트장#시청광장#열린문화공간#주말추천여행지#친구와함께#크리스마스#피크닉#휴식공간#휴식여행#휴식하기#휴식하기좋은곳
중랑장미공원,서울특별시 중랑구 묵동 375,#관광지#서울축제#장미공원#장미정원#장미축제#장미터널#중랑천
양재꽃시장,서울특별시 서초구 강남대로 27 화훼공판장 나동 87호 양재꽃시장꽃과나무,#사진명소#서울_여행지_추천#서울가볼만한곳#서울권#쇼핑#양재꽃시장
여의도공원,서울특별시 영등포구 여의도동 여의공원로 68 여의도공원관리사무소,#c-47비행기전시관#관광지#꽃여행#데이트코스#복합문화공간#봄나들이#산책길#산책하기#산책하기좋은곳#서울근교여행#여의도공원#여의도광장#여의도문화마당#연인과함께#연중무휴#열린문화공간#영등포여의도공원#인생샷#한국전통의숲#휴식공간#휴식여행#휴식하기#휴식하기좋은곳
삼원가든,서울특별시 강남구 언주로 835,#강남맛집#강남삼원가든#강남한식당#고기맛집#맛집#분위기_좋은#불고기#생갈비#양념갈비#육회#음식
마포농수산물시장,서울특별시 마포구 월드컵로 235,#농수산물시장#마포구전통시장#마포농수산물시장#마포회센터#쇼핑#전통시장
진주회관,서울특별시 중구 세종대로11길 26,#김치찌개#냉콩국수#맛집#삼겹살#서울맛집#섞어찌개#수도권#연중무휴#음식#진주회관#콩국수
이새,서울특별시 종로구 인사동길 30-1 인사유리,#쇼핑#자연주의#중장년층#천연소재#친환경염색의류
방산 종합시장,서울특별시 중구 창경궁로 62-29,#가족여행#나홀로여행#데이트코스#먹거리#방산시장#방산종합시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#취미#친구와함께
서울 평화시장,서울특별시 중구 청계천로 274,#가족여행#나들이#나홀로여행#데이트코스#도매상가#도심여행#동대문시장#먹거리#서울평화시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#의류도매상가#전통시장#전통시장투어#청계천시장#친구와함께#평화시장
공덕동 족발 골목,서울특별시 마포구 만리재로 19,#가족과함께#골목길여행#골목여행#공덕시장#관광지#돼지고기#마포구가볼만한곳#마포구맛집#마포족발골목#맛집골목#먹자골목#서울골목맛집#숨은맛집#시장족발골목#연인과함께#오향족발#전국맛집#족발거리#족발골목#체험#한양족발
이화여고100주년기념관,서울특별시 중구 정동길 26 이화여고100주년기념관,#100주년기념관#공연장#문화시설#서대문공연장#이화여고#이화여고100주년기념관#이화여고기념관#정동이화여고기념관#프라이홀
샤오바오우육면 종로본점,서울특별시 종로구 삼일대로17길 15,#샤오바오본점#수타우육면#음식#종각샤오바오#종각우육면맛집
광장시장 한복매장,서울특별시 종로구 창경궁로 88 광장시장2층 구관 32호,#광장시장#광장시장한복매장#쇼핑#수도권#연중무휴#한복매장
창의문,서울특별시 종로구 창의문로 118,#가족여행#관광지#문화재#서울여행#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사이야기#역사탐방#연중무휴#인조반정#창의문
세종대왕동상,서울특별시 종로구 세종대로 172,#관광지#광화문광장#교과서속여행#도심여행#세종대왕동상#수도권#아이와함께#역사속#역사속으로#역사이야기#역사탐방#체험학습#훈민정음
서대문문화체육회관실내수영장,서울특별시 서대문구 백련사길 39,#레포츠#서대문수영장#서대문실내수영장#서대문체육관#해수풀수영장
구로중앙유통단지,서울특별시 구로구 경인로53길 15,#도소매#무역#산업용품#서울가볼만한곳#쇼핑#오프라인매장#유통단지#저렴한가격#전자부품#컴퓨터부품
고속터미널 꽃도매상가,서울특별시 서초구 신반포로 194 강남고속버스터미널,#고터꽃도매상가#고터꽃쇼핑#고터꽃시장#고터쇼핑#꽃#꽃도매상가#쇼핑#원예전문점
수연산방,서울특별시 성북구 성북로26길 8 상허 이태준 가옥,#관광지#문화재#상허이태준가옥#성북동이태준가옥#성북동찻집#성북수연산방#수도권#수연산방#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#이태준가옥
강서농산물도매시장,서울특별시 강서구 발산로 40 강서농산물도매시장,#강서농산물도매시장#강서도매시장유통#과일도매시장#농산물경매장#농산물도매시장#도매시장#쇼핑
오금오름공원,서울특별시 송파구 오금로 363 오금근린공원,#관광지#데이트코스#산책길#산책하기#산책하기좋은곳#아이와함께#연인과함께#오금공원#자연&숲#휴식공간#휴식여행#휴식하기#휴식하기좋은곳#힐링
용산공원 반환부지,서울특별시 용산구 서빙고로 221,#SNS감성핫플레이스#SNS속_인생샷명소#가볼래터#관광지#데이트코스#색감_예쁜_관광지#여행구독#옛_미군기지#옛_서빙고#용산#용산공원#포토존#힐링#힐링공간#힐링공원
약령시장,서울특별시 동대문구 제기동,#가족여행#나들이#나홀로여행#데이트코스#도심여행#먹거리#서울약령시장#쇼핑#수도권#시장맛집#아이와함께#연인과함께#전통시장#전통시장투어#친구와함께#특산물
뚝섬 한강공원 수영장,서울특별시 광진구 자양동 112,#가족과함께#남녀노소#뚝섬#레포츠#물놀이장#수영장#실외수영장#아이가_좋아하는_여행#아이와함께#야외#야외수영장#여름방학가볼한곳#여름피서지#친구와함께#한강공원#한강수영장#한강시민공원
응정헌,서울특별시 은평구 연서로50길 19,#독채한옥#서울숙소#서울여행#서울한옥#조식가능#품질인증업소_전체보기#한국관광품질인증#한국관광품질인증_한옥#한옥
정릉(신덕왕후),서울특별시 성북구 아리랑로19길 116,#관광지#서울정릉#세계문화유산#수도권#아이와함께#역사#역사공부#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사탐험#유네스코세계문화유산#이성계후비#조선왕릉#현비강씨릉
양천공원,서울특별시 양천구 목동동로 111,#관광지#산책하기좋은곳#아이가_좋아하는_여행#아이와가볼만한곳#아이와함께#휴식공간#휴식공원#휴식여행#휴식하기#휴식하기좋은곳#힐링산책
봉화산,서울특별시 중랑구 묵동,#경치좋은곳#관광지#남녀노소#등산#등산여행#봉수대#봉화산#자연#자연좋은곳#자연풍경#자연환경#중랑구산#중랑구힐링#휴식하기좋은곳#힐링산책
오동근린공원,서울특별시 강북구 번동 산12,#관광지#근린공원#산책길#산책코스#산책하기#산책하기좋은곳#실내운동#자연환경#체육관#휴식공간#휴식여행#휴식하기#휴식하기좋은곳
롯데아울렛 서울역점,서울특별시 용산구 한강대로 405 롯데아울렛서울역점,#서울여행#쇼핑#품질인증업소_전체보기#한국관광품질인증
104고지전적비,서울특별시 서대문구 연희동 산100-1,#관광지#기념탑#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적#역사유적지#역사이야기#역사탐방#역사탐험#추모#추모비#한국역사#한국전쟁#해병대
용마랜드,서울특별시 중랑구 망우로70길 118,#관광지#드라마촬영지#뮤직비디오촬영지#사진찍기좋은곳#사진촬영지#애견동반놀이동산#야외대관장소#영화촬영지#용마랜드#웨딩촬영지#폐놀이공원
통인가게 미술,서울특별시 종로구 인사동길 32,#가족여행#고미술갤러리#고미술전시#고미술품갤러리#나들이#나홀로여행#데이트코스#쇼핑#수도권#아이와함께#연인과함께#전통역사문화체험#친구와함께#통인가게#힐링
롯데월드,서울특별시 송파구 올림픽로 240,#공연장#나들이#놀이공원&테마파크#데이트코스#롯데월드가든스테이지#문화시설#미세먼지_피하는_실내여행#실내여행지#아이와함께#어린이날가볼만한곳#연인과함께#예술#음악회#체험학습#친구와함께#힐링
세운상가,서울특별시 종로구 청계천로 159,#가전제품#쇼핑#전자부품#컴퓨터
서초구민체육센터수영장,서울특별시 서초구 사평대로 55 서초구민체육센터.심산기념문화센터,#남녀노소#레포츠#생활스포츠#서초YMCA수영장#서초구#수영#수영장#스포츠#실내수영장#실내스포츠
서촌게스트하우스,서울특별시 종로구 자하문로7길 28-3 통인동,#마운틴뷰#서울숙소#서울여행#서울한옥#숙박#조식가능#품질인증업소_전체보기#한국관광품질인증#한국관광품질인증_한옥#한옥
황궁우,서울 중구 소공동,#고종#관광지#대한제국황제국#사적#수도권#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사속으로#역사여행#역사유적#역사유적지#역사유적지#역사이야기#역사탐험#제천단#조선호텔#환구단#환단#황궁우
필동면옥,서울 중구 서애로 26,#냉면#냉면#맛집#비빔냉면#서울중구맛집#서울특별시#음식#접시만두#제육담백한_맛#중구#충무로맛집#평양냉면#평양냉면맛집
간송미술관,서울 성북구 성북로 102-11 간송미술관,#가족과함께#문화공간#문화시설#문화예술#문화예술공간#복합문화공간#아이와함께#연인과함께#열린문화공간#예술공간#한국전통
